Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
5-July-2019,1337.60,1338.50,1320.00,1322.90,1327.725935958208377672,10337,324,13724703.00,4850,46.92,18.50,-14.70
4-July-2019,1329.85,1348.00,1324.00,1337.50,1337.059175283418462688,8027,510,10732574.00,1070,13.33,24.00,7.65
3-July-2019,1340.40,1341.90,1332.30,1334.20,1336.835689045936395759,2264,224,3026596.00,1075,47.48,9.60,-6.20
2-July-2019,1346.80,1354.70,1333.25,1346.15,1344.150103519668737060,6762,424,9089143.00,1850,27.36,21.45,-0.65
1-July-2019,1341.55,1354.35,1335.35,1349.35,1350.394370982812809695,35317,658,47691878.00,3708,10.50,19.00,7.80
28-June-2019,1342.00,1349.00,1334.20,1345.10,1341.448113849925098733,14686,610,19700507.00,2154,14.67,14.80,3.10
27-June-2019,1336.40,1339.10,1320.90,1335.80,1334.853802669010903141,163806,419,218657062.00,159742,97.52,18.20,-0.60
26-June-2019,1340.95,1341.00,1320.20,1331.00,1331.442354461164310685,26316,532,35038237.00,14623,55.57,20.80,-9.95
25-June-2019,1320.20,1343.00,1314.30,1341.30,1324.389851166061174264,42665,621,56505093.00,3044,7.13,28.70,21.10
24-June-2019,1308.15,1323.90,1306.00,1321.40,1310.923631344885753718,26084,302,34194132.00,2205,8.45,17.90,13.25
21-June-2019,1306.95,1313.35,1302.20,1307.25,1306.819708029197080291,4110,277,5371029.00,1333,32.43,11.15,0.30
20-June-2019,1295.00,1314.85,1294.10,1311.40,1306.819107662463627546,4124,241,5389322.00,1104,26.77,20.75,16.40
19-June-2019,1327.35,1327.35,1300.00,1302.40,1306.809796437659033078,6288,276,8217220.00,385,6.12,27.35,-24.95
18-June-2019,1319.80,1325.55,1317.15,1322.20,1320.933993399339933993,2424,85,3201944.00,861,35.52,8.40,2.40
17-June-2019,1320.00,1325.65,1315.50,1317.05,1319.496148738379814077,3765,210,4967903.00,1295,34.40,10.15,-2.95
14-June-2019,1334.60,1340.45,1317.25,1320.10,1326.063273727647867950,8724,437,11568576.00,2441,27.98,23.20,-14.50
13-June-2019,1339.85,1341.00,1329.05,1340.20,1335.588537549407114624,5060,278,6758078.00,1682,33.24,11.95,0.35
12-June-2019,1337.20,1351.05,1336.05,1342.95,1345.152042678646637652,7123,339,9581518.00,1756,24.65,15.00,5.75
11-June-2019,1336.15,1349.95,1333.00,1338.45,1342.278977791299056890,6574,458,8824142.00,1376,20.93,16.95,2.30
10-June-2019,1320.65,1346.40,1320.65,1335.95,1338.282595213774989055,54824,789,73370005.00,5843,10.66,25.75,15.30
7-June-2019,1311.80,1330.00,1310.80,1320.45,1322.256247053276756247,12726,615,16827033.00,1632,12.82,19.20,8.65
6-June-2019,1313.60,1318.50,1297.20,1308.20,1309.117001055966209081,9470,984,12397338.00,2006,21.18,21.30,-5.40
4-June-2019,1306.80,1314.70,1299.95,1302.45,1306.884925096478167066,32909,455,43008276.00,1070,3.25,14.75,-4.35
3-June-2019,1306.00,1315.00,1303.35,1313.00,1311.159970375856322903,5401,308,7081575.00,1442,26.70,11.65,7.00
31-May-2019,1307.55,1316.05,1301.10,1305.70,1305.956841838029956841,35451,700,46297476.00,2824,7.97,14.95,-1.85
30-May-2019,1291.50,1312.00,1286.85,1305.10,1302.658072898857963482,58492,1009,76195076.00,3154,5.39,25.15,13.60
