Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
20-May-2020,81.50,86.85,81.50,86.30,84.760176143222400994,1164734,5768,98723059.00,515049,44.22,5.35,4.80
19-May-2020,82.95,83.40,80.75,81.90,82.576800543198152929,1625926,4076,134263767.00,1172502,72.11,2.65,-1.05
18-May-2020,86.70,86.70,80.50,80.95,81.857318976614018403,606731,3323,49665373.00,350868,57.83,6.20,-5.75
15-May-2020,86.85,86.85,84.80,85.80,85.789675633821173115,260878,1894,22380639.00,77936,29.87,2.05,-1.05
14-May-2020,89.90,89.90,85.10,85.45,86.062502458610118196,381313,3354,32816751.00,169236,44.38,4.80,-4.45
13-May-2020,92.00,92.45,87.30,89.40,89.233613369872860416,467439,2853,41711271.00,98675,21.11,5.15,-2.60
12-May-2020,91.20,94.00,88.25,88.70,89.931267375075850584,354315,4489,31863997.00,120898,34.12,5.75,-2.50
11-May-2020,92.90,94.60,91.50,92.10,93.251880957264219173,185278,1290,17277522.00,34462,18.60,3.10,-0.80
8-May-2020,94.95,94.95,90.85,91.30,92.161923829142123109,345644,1799,31855216.00,45557,13.18,4.10,-3.65
7-May-2020,96.35,96.35,91.00,91.50,93.444188260120754000,358249,2435,33476287.00,91300,25.48,5.35,-4.85
6-May-2020,94.00,94.95,89.70,94.65,92.630451794917805624,802488,3115,74334826.00,158532,19.76,5.25,0.65
5-May-2020,93.90,95.75,90.75,91.10,93.534398836722433598,878896,3892,82207009.00,177655,20.21,5.00,-2.80
4-May-2020,95.00,95.20,89.65,93.35,91.751146622771497466,986593,4409,90521039.00,164953,16.72,5.55,-1.65
30-April-2020,91.00,96.50,91.00,95.75,93.620033858061166264,739558,4553,69237445.00,222707,30.11,5.50,4.75
29-April-2020,86.00,89.85,84.65,89.10,88.072813725130024509,571623,3532,50344446.00,159826,27.96,5.20,3.10
28-April-2020,83.00,85.10,82.20,84.60,83.873706587260848649,1860485,3866,156045773.00,203268,10.93,2.90,1.60
27-April-2020,82.05,84.40,81.30,81.75,82.711354802636918664,443548,2514,36686456.00,108979,24.57,3.10,-0.30
24-April-2020,83.25,84.25,79.00,81.45,81.899161134960187142,1685134,4549,138011061.00,232899,13.82,5.25,-1.80
23-April-2020,86.00,88.65,82.85,83.30,84.648739796768282525,1200600,3813,101629277.00,311865,25.98,5.80,-2.70
22-April-2020,83.00,85.00,80.25,84.20,82.282907482314929922,316934,2232,26078251.00,42310,13.35,4.75,1.20
21-April-2020,86.85,86.85,78.75,82.45,84.651053938857288649,1066096,5662,90246150.00,131220,12.31,8.10,-4.40
20-April-2020,91.65,91.65,86.80,87.45,88.961575655807432160,360891,3662,32105432.00,106169,29.42,4.85,-4.20
17-April-2020,90.15,91.60,88.10,89.65,89.573002821016815567,416162,3301,37276880.00,117509,28.24,3.50,-0.50
